CustomerKey;GeographyKey;CustomerAlternateKey;Title;FirstName;MiddleName;LastName;NameStyle;MaritalStatus;Suffix;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;EnglishEducation;SpanishEducation;FrenchEducation;EnglishOccupation;SpanishOccupation;FrenchOccupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;Phone;DateFirstPurchase;CommuteDistance;Region;Age;BikeBuyer;BirthDateDay;BirthDateMonth;BirthDateYear;AgeRange
11022;609;AW00011022;;Ethan;G;Zhang;0;M;;M;ethan20@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;1;1769 Nicholas Drive;;589-555-0185;7/24/2007;5-10 Miles;North America;46;1;12;10;1978;40-50
11023;298;AW00011023;;Seth;M;Edwards;0;M;;M;seth46@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;1;4499 Valley Crest;;452-555-0188;8/21/2007;1-2 Miles;North America;46;0;11;10;1978;40-50
11024;311;AW00011024;;Russell;;Xie;0;M;;M;russell7@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;8734 Oxford Place;;746-555-0186;12/29/2007;5-10 Miles;North America;46;0;17;9;1978;40-50
11025;24;AW00011025;;Alejandro;;Beck;0;M;;M;alejandro45@adventure-works.com;10000;2;1;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;1;2;2596 Franklin Canyon Road;;1 (11) 500 555-0178;7/9/05;1-2 Miles;Pacific;78;1;23;12;1945;71-80
11028;17;AW00011028;;Jill;;Jimenez;0;M;;F;jill13@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Clerical;Administrativo;Employ‚;1;2;9111 Rose Ann Ave;;1 (11) 500 555-0116;7/29/2005;1-2 Miles;Pacific;78;1;11;4;1946;71-80
11029;32;AW00011029;;Jimmy;L;Moreno;0;M;;M;jimmy9@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Clerical;Administrativo;Employ‚;1;2;6385 Mark Twain;;1 (11) 500 555-0146;7/22/2005;1-2 Miles;Pacific;77;1;21;12;1946;71-80
11030;28;AW00011030;;Bethany;G;Yuan;0;M;;F;bethany10@adventure-works.com;10000;2;1;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;1;2;636 Vine Hill Way;;1 (11) 500 555-0182;8/8/05;1-2 Miles;Pacific;77;1;22;2;1947;71-80
11034;12;AW00011034;;Ebony;;Gonzalez;0;M;;F;ebony19@adventure-works.com;20000;4;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;5167 Condor Place;;1 (11) 500 555-0136;8/4/05;5-10 Miles;Pacific;77;1;19;6;1947;71-80
11035;33;AW00011035;;Wendy;;Dominguez;0;M;;F;wendy12@adventure-works.com;10000;2;1;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;1;2;1873 Mt. Whitney Dr;;1 (11) 500 555-0177;8/9/05;1-2 Miles;Pacific;76;1;24;2;1948;71-80
11036;343;AW00011036;;Jennifer;C;Russell;0;M;;F;jennifer93@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;3981 Augustine Drive;;115-555-0183;7/26/2007;1-2 Miles;North America;45;1;18;12;1978;40-50
11037;49;AW00011037;;Chloe;M;Garcia;0;S;;F;chloe27@adventure-works.com;40000;0;0;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;0;2;8915 Woodside Way;;229-555-0112;7/24/2007;5-10 Miles;North America;46;1;27;11;1977;40-50
11038;6;AW00011038;;Diana;F;Hernandez;0;M;;F;diana2@adventure-works.com;10000;2;1;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;1;2;8357 Sandy Cove Lane;;1 (11) 500 555-0114;8/10/05;5-10 Miles;Pacific;76;1;23;3;1948;71-80
11039;19;AW00011039;;Marc;J;Martin;0;M;;M;marc3@adventure-works.com;30000;3;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Clerical;Administrativo;Employ‚;1;2;9353 Creekside Dr.;;1 (11) 500 555-0183;8/10/05;5-10 Miles;Pacific;75;1;17;12;1948;71-80
11040;642;AW00011040;;Jesse;;Murphy;0;M;;M;jesse15@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;3350 Kingswood Circle;;961-555-0176;10/5/07;1-2 Miles;North America;47;1;1;8;1977;40-50
11041;325;AW00011041;;Amanda;M;Carter;0;M;;F;amanda53@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;5826 Escobar;;295-555-0145;7/18/2007;1-2 Miles;North America;47;1;16;10;1977;40-50
11042;338;AW00011042;;Megan;J;Sanchez;0;M;;F;megan28@adventure-works.com;70000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;1397 Paraiso Ct.;;404-555-0199;7/25/2007;0-1 Miles;North America;47;1;13;6;1977;40-50
11043;325;AW00011043;;Nathan;M;Simmons;0;M;;M;nathan11@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;1170 Shaw Rd;;296-555-0181;11/9/07;5-10 Miles;North America;48;0;24;2;1976;40-50
11044;25;AW00011044;;Adam;L;Flores;0;M;;M;adam10@adventure-works.com;20000;2;1;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;1;2;6935 Candle Dr;;1 (11) 500 555-0163;8/31/2005;1-2 Miles;Pacific;75;1;24;5;1949;71-80
11046;6;AW00011046;;Christine;;Yuan;0;M;;F;christine4@adventure-works.com;30000;3;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2356 Orange St;;1 (11) 500 555-0113;8/9/05;5-10 Miles;Pacific;74;1;22;3;1950;71-80
11049;307;AW00011049;;Carol;C;Rai;0;S;;F;carol8@adventure-works.com;40000;0;0;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;1;2;6064 Madrid;;654-555-0180;9/10/07;5-10 Miles;North America;44;0;18;7;1980;40-50
11050;31;AW00011050;;Alan;;Zheng;0;M;;M;alan23@adventure-works.com;30000;3;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2741 Gainborough Dr.;;1 (11) 500 555-0135;8/23/2005;5-10 Miles;Pacific;73;1;7;9;1951;71-80
11051;21;AW00011051;;Daniel;;Johnson;0;S;;M;daniel18@adventure-works.com;30000;3;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;8085 Sunnyvale Avenue;;1 (11) 500 555-0155;7/1/08;1-2 Miles;Pacific;73;0;4;8;1951;71-80
11052;8;AW00011052;;Heidi;;Lopez;0;S;;F;heidi19@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Clerical;Administrativo;Employ‚;0;2;2514 Via Cordona;;1 (11) 500 555-0168;8/20/2005;5-10 Miles;Pacific;73;1;7;8;1951;71-80
11053;359;AW00011053;;Ana;E;Price;0;M;;F;ana0@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;0;2;1660 Stonyhill Circle;;859-555-0113;7/21/2007;1-2 Miles;North America;44;1;20;8;1980;40-50
11054;34;AW00011054;;Deanna;;Munoz;0;M;;F;deanna33@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;5825 B Way;;1 (11) 500 555-0192;8/6/05;5-10 Miles;Pacific;72;1;10;3;1952;71-80
11055;22;AW00011055;;Gilbert;;Raje;0;M;;M;gilbert35@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;8811 The Trees Dr.;;1 (11) 500 555-0129;8/3/05;5-10 Miles;Pacific;72;1;5;3;1952;71-80
11057;5;AW00011057;;Carl;J;Andersen;0;M;;M;carl12@adventure-works.com;70000;2;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gesti¢n;Direction;1;2;6930 Lake Nadine Place;;1 (11) 500 555-0181;8/25/2005;1-2 Miles;Pacific;71;1;12;10;1953;71-80
11058;29;AW00011058;;Marc;;Diaz;0;M;;M;marc6@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;6645 Sinaloa;;1 (11) 500 555-0149;9/9/05;1-2 Miles;Pacific;70;1;27;4;1954;61-70
11059;27;AW00011059;;Ashlee;J;Andersen;0;S;;F;ashlee19@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;8255 Highland Road;;1 (11) 500 555-0112;8/22/2007;5-10 Miles;Pacific;70;0;1;4;1954;61-70
11060;40;AW00011060;;Jon;L;Zhou;0;M;;M;jon28@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;6574 Hemlock Ave.;;1 (11) 500 555-0174;9/19/2005;5-10 Miles;Pacific;70;1;17;3;1954;61-70
11061;23;AW00011061;;Todd;M;Gao;0;M;;M;todd14@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;8808 Geneva Ave;;1 (11) 500 555-0191;9/13/2005;5-10 Miles;Pacific;70;1;27;2;1954;61-70
11062;547;AW00011062;;Noah;D;Powell;0;M;;M;noah5@adventure-works.com;40000;0;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;9794 Marion Ct;;767-555-0113;7/11/07;5-10 Miles;North America;49;1;2;9;1975;40-50
11063;634;AW00011063;;Angela;;Murphy;0;S;;F;angela41@adventure-works.com;40000;0;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;4927 Virgil Street;# 21;451-555-0162;7/16/2007;5-10 Miles;North America;49;1;7;4;1975;40-50
11064;315;AW00011064;;Chase;;Reed;0;M;;M;chase21@adventure-works.com;40000;0;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2721 Alexander Pl.;;892-555-0184;7/29/2007;5-10 Miles;North America;48;1;7;12;1975;40-50
11065;331;AW00011065;;Jessica;;Henderson;0;M;;F;jessica29@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;0;2;9343 Ironwood Way;;278-555-0186;8/14/2007;1-2 Miles;North America;51;0;9;10;1973;51-60
11066;543;AW00011066;;Grace;T;Butler;0;M;;F;grace62@adventure-works.com;70000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Professional;Profesional;Cadre;1;2;4739 Garden Ave.;;712-555-0141;12/2/07;5-10 Miles;North America;50;0;27;11;1973;40-50
11067;632;AW00011067;;Caleb;F;Carter;0;S;;M;caleb40@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Professional;Profesional;Cadre;1;2;9563 Pennsylvania Blvd.;;944-555-0167;2/19/2008;5-10 Miles;North America;48;0;25;9;1976;40-50
11069;23;AW00011069;;Carolyn;;Navarro;0;S;;F;carolyn30@adventure-works.com;80000;2;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;4606 Springwood Court;;1 (11) 500 555-0145;10/18/2005;1-2 Miles;Pacific;69;1;21;9;1955;61-70
11071;24;AW00011071;;Linda;;Serrano;0;S;;F;linda31@adventure-works.com;80000;2;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;9808 Shaw Rd.;;1 (11) 500 555-0130;9/2/07;5-10 Miles;Pacific;69;0;26;6;1955;61-70
11072;17;AW00011072;;Casey;;Luo;0;S;;F;casey6@adventure-works.com;80000;2;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;9513 Roslyn Drive;;1 (11) 500 555-0125;10/1/05;1-2 Miles;Pacific;69;1;6;2;1955;61-70
11073;16;AW00011073;;Amy;;Ye;0;S;;F;amy16@adventure-works.com;70000;2;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2262 Kirkwood Ct.;;1 (11) 500 555-0185;9/24/2007;5-10 Miles;Pacific;68;0;14;8;1956;61-70
11074;28;AW00011074;;Levi;A;Arun;0;S;;M;levi6@adventure-works.com;70000;2;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;4661 Bluetail;;1 (11) 500 555-0127;9/24/2007;5-10 Miles;Pacific;68;0;28;8;1956;61-70
11075;32;AW00011075;;Felicia;L;Jimenez;0;S;;F;felicia4@adventure-works.com;80000;2;0;High School;Educaci¢n secundaria;Bac + 2;Professional;Profesional;Cadre;1;2;786 Eastgate Ave;;1 (11) 500 555-0165;10/29/2005;5-10 Miles;Pacific;67;1;16;11;1957;61-70
11077;36;AW00011077;;Leah;;Ye;0;S;;F;leah7@adventure-works.com;80000;2;0;High School;Educaci¢n secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;1291 Arguello Blvd.;;1 (11) 500 555-0154;10/16/2005;1-2 Miles;Pacific;67;1;19;9;1957;61-70
11078;49;AW00011078;;Gina;E;Martin;0;S;;F;gina1@adventure-works.com;40000;0;0;High School;Educaci¢n secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;1349 Sol St.;;196-555-0114;8/19/2007;1-2 Miles;North America;50;0;10;1;1974;40-50
11080;30;AW00011080;;Damien;;Chander;0;M;;M;damien32@adventure-works.com;170000;0;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gesti¢n;Direction;1;2;9941 Stonehedge Dr.;;1 (11) 500 555-0111;10/11/05;0-1 Miles;Pacific;65;1;17;7;1959;61-70
11081;311;AW00011081;;Savannah;C;Baker;0;M;;F;savannah39@adventure-works.com;120000;2;2;Bachelors;Licenciatura;Bac + 4;Management;Gesti¢n;Direction;1;3;1210 Trafalgar Circle;;478-555-0117;8/16/2007;2-5 Miles;North America;58;0;24;7;1966;51-60
11082;322;AW00011082;;Angela;L;Butler;0;S;;F;angela17@adventure-works.com;130000;0;1;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gesti¢n;Direction;0;3;6040 Listing Ct;;579-555-0195;7/26/2007;1-2 Miles;North America;58;1;4;8;1966;51-60
11083;336;AW00011083;;Alyssa;F;Cox;0;M;;F;alyssa37@adventure-works.com;130000;0;1;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gesti¢n;Direction;1;3;867 La Orinda Place;;561-555-0140;7/10/07;1-2 Miles;North America;58;1;15;3;1966;51-60
11084;543;AW00011084;;Lucas;;Phillips;0;S;;M;lucas7@adventure-works.com;80000;2;0;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Skilled Manual;Obrero especializado;Technicien;0;2;8668 St. Celestine Court;;863-555-0172;7/8/07;1-2 Miles;North America;67;1;12;9;1957;61-70
11085;345;AW00011085;;Emily;;Johnson;0;S;;F;emily1@adventure-works.com;60000;2;0;High School;Educaci¢n secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;7926 Stephanie Way;;850-555-0184;6/8/08;5-10 Miles;North America;67;0;19;7;1957;61-70
11086;369;AW00011086;;Ryan;;Brown;0;M;;M;ryan43@adventure-works.com;70000;2;1;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Professional;Profesional;Cadre;1;0;2939 Wesley Ct.;;539-555-0198;1/3/08;0-1 Miles;North America;66;0;23;12;1957;61-70
11087;307;AW00011087;;Tamara;L;Liang;0;M;;F;tamara6@adventure-works.com;70000;3;2;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Professional;Profesional;Cadre;0;0;3791 Rossmor Parkway;;178-555-0152;8/29/2007;0-1 Miles;North America;67;0;3;10;1957;61-70
11088;359;AW00011088;;Hunter;;Davis;0;M;;M;hunter64@adventure-works.com;80000;2;1;Bachelors;Licenciatura;Bac + 4;Management;Gesti¢n;Direction;1;0;4308 Sand Pointe Lane;;612-555-0141;7/17/2007;2-5 Miles;North America;66;1;25;11;1957;61-70
11089;337;AW00011089;;Abigail;M;Price;0;S;;F;abigail25@adventure-works.com;80000;2;1;Bachelors;Licenciatura;Bac + 4;Management;Gesti¢n;Direction;1;1;2685 Blackburn Ct;;532-555-0117;7/2/07;2-5 Miles;North America;67;1;5;2;1957;61-70
11090;338;AW00011090;;Trevor;;Bryant;0;S;;M;trevor18@adventure-works.com;90000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Professional;Profesional;Cadre;1;1;5781 Sharon Dr.;;853-555-0174;2/7/06;2-5 Miles;North America;66;1;17;12;1957;61-70
11091;50;AW00011091;;Dalton;;Perez;0;M;;M;dalton37@adventure-works.com;90000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Professional;Profesional;Cadre;1;1;6083 San Jose;;559-555-0115;8/2/07;5-10 Miles;North America;67;0;4;4;1957;61-70
11093;19;AW00011093;;Aimee;A;He;0;M;;F;aimee13@adventure-works.com;100000;0;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gesti¢n;Direction;1;0;1833 Olympic Drive;;1 (11) 500 555-0161;10/8/05;0-1 Miles;Pacific;57;1;10;9;1967;51-60
11094;33;AW00011094;;Cedric;W;Ma;0;S;;M;cedric15@adventure-works.com;70000;1;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;0;1;3407 Oak Brook Place;;1 (11) 500 555-0115;10/9/07;0-1 Miles;Pacific;62;0;1;4;1962;61-70
11098;14;AW00011098;;Mallory;S;Rubio;0;S;;F;mallory7@adventure-works.com;60000;1;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;0;1;6452 Harris Circle;;1 (11) 500 555-0157;8/15/2007;0-1 Miles;Pacific;63;0;1;5;1961;61-70
11099;13;AW00011099;;Adam;;Ross;0;M;;M;adam2@adventure-works.com;60000;1;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;4378 Westminster Place;;1 (11) 500 555-0186;10/8/05;0-1 Miles;Pacific;63;1;8;3;1961;61-70
11100;28;AW00011100;;Latasha;L;Navarro;0;S;;F;latasha10@adventure-works.com;60000;1;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;1;6954 Ranch Road;;1 (11) 500 555-0123;10/17/2005;5-10 Miles;Pacific;64;1;15;9;1960;61-70
11102;18;AW00011102;;Julia;L;Nelson;0;S;;F;julia7@adventure-works.com;80000;5;5;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;4;2196 Coat Ct.;;1 (11) 500 555-0124;1/17/2008;1-2 Miles;Pacific;59;0;21;4;1965;51-60
11103;3;AW00011103;;Cassie;;Chande;0;S;;F;cassie13@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;9448 San Marino Ct.;;1 (11) 500 555-0166;10/16/2005;5-10 Miles;Pacific;60;1;17;10;1964;51-60
11107;17;AW00011107;;Bianca;;Lin;0;M;;F;bianca7@adventure-works.com;90000;1;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;7530 Eola;;1 (11) 500 555-0121;11/1/05;5-10 Miles;Pacific;65;1;9;9;1959;61-70
11109;38;AW00011109;;Ruben;D;Kapoor;0;S;;M;ruben1@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;2;1984 Glendale Circle;;1 (11) 500 555-0132;11/10/05;0-1 Miles;Pacific;61;1;5;11;1963;61-70
11111;34;AW00011111;;Meredith;T;Gutierrez;0;M;;F;meredith34@adventure-works.com;60000;1;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;1;7610 Northridge Ct.;;1 (11) 500 555-0179;11/20/2005;0-1 Miles;Pacific;62;1;23;2;1962;61-70
11112;25;AW00011112;;Crystal;C;Wang;0;M;;F;crystal3@adventure-works.com;60000;1;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;1;2773 Kirkwood Dr;;1 (11) 500 555-0134;11/25/2005;0-1 Miles;Pacific;62;1;9;9;1962;61-70
11119;13;AW00011119;;Evan;V;James;0;S;;M;evan8@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Clerical;Administrativo;Employ‚;0;2;4157 Sierra Ridge;;1 (11) 500 555-0187;8/7/07;0-1 Miles;Pacific;89;0;10;4;1935;81-90
