CustomerKey;GeographyKey;CustomerAlternateKey;Title;FirstName;MiddleName;LastName;NameStyle;BirthDate;MaritalStatus;Suffix;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;EnglishEducation;SpanishEducation;FrenchEducation;EnglishOccupation;SpanishOccupation;FrenchOccupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;Phone;DateFirstPurchase;CommuteDistance;Region;Age;BikeBuyer
11020;53;AW00011020;None;Jordan;C;King;0;1978-09-20;S;None;M;jordan73@adventure-works.com;40000;0;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;7156 Rose Dr.;None;550-555-0163;7/2/07;1-2 Miles;North America;46;1
11021;536;AW00011021;None;Destiny;None;Wilson;0;1978-09-03;S;None;F;destiny7@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;0;1;8148 W. Lake Dr.;None;622-555-0158;7/27/2007;1-2 Miles;North America;46;1
11022;609;AW00011022;None;Ethan;G;Zhang;0;1978-10-12;M;None;M;ethan20@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;1;1769 Nicholas Drive;None;589-555-0185;7/24/2007;5-10 Miles;North America;46;1
11023;298;AW00011023;None;Seth;M;Edwards;0;1978-10-11;M;None;M;seth46@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;1;4499 Valley Crest;None;452-555-0188;8/21/2007;1-2 Miles;North America;46;0
11024;311;AW00011024;None;Russell;None;Xie;0;1978-09-17;M;None;M;russell7@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;8734 Oxford Place;None;746-555-0186;12/29/2007;5-10 Miles;North America;46;0
11025;24;AW00011025;None;Alejandro;None;Beck;0;1945-12-23;M;None;M;alejandro45@adventure-works.com;10000;2;1;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;1;2;2596 Franklin Canyon Road;None;1 (11) 500 555-0178;7/9/05;1-2 Miles;Pacific;78;1
11028;17;AW00011028;None;Jill;None;Jimenez;0;1946-04-11;M;None;F;jill13@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Clerical;Administrativo;Employ‚;1;2;9111 Rose Ann Ave;None;1 (11) 500 555-0116;7/29/2005;1-2 Miles;Pacific;78;1
11029;32;AW00011029;None;Jimmy;L;Moreno;0;1946-12-21;M;None;M;jimmy9@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Clerical;Administrativo;Employ‚;1;2;6385 Mark Twain;None;1 (11) 500 555-0146;7/22/2005;1-2 Miles;Pacific;77;1
11030;28;AW00011030;None;Bethany;G;Yuan;0;1947-02-22;M;None;F;bethany10@adventure-works.com;10000;2;1;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;1;2;636 Vine Hill Way;None;1 (11) 500 555-0182;8/8/05;1-2 Miles;Pacific;77;1
11034;12;AW00011034;None;Ebony;None;Gonzalez;0;1947-06-19;M;None;F;ebony19@adventure-works.com;20000;4;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;5167 Condor Place;None;1 (11) 500 555-0136;8/4/05;5-10 Miles;Pacific;77;1
11035;33;AW00011035;None;Wendy;None;Dominguez;0;1948-02-24;M;None;F;wendy12@adventure-works.com;10000;2;1;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;1;2;1873 Mt. Whitney Dr;None;1 (11) 500 555-0177;8/9/05;1-2 Miles;Pacific;76;1
11036;343;AW00011036;None;Jennifer;C;Russell;0;1978-12-18;M;None;F;jennifer93@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;3981 Augustine Drive;None;115-555-0183;7/26/2007;1-2 Miles;North America;45;1
11037;49;AW00011037;None;Chloe;M;Garcia;0;1977-11-27;S;None;F;chloe27@adventure-works.com;40000;0;0;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;0;2;8915 Woodside Way;None;229-555-0112;7/24/2007;5-10 Miles;North America;46;1
11038;6;AW00011038;None;Diana;F;Hernandez;0;1948-03-23;M;None;F;diana2@adventure-works.com;10000;2;1;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;1;2;8357 Sandy Cove Lane;None;1 (11) 500 555-0114;8/10/05;5-10 Miles;Pacific;76;1
11039;19;AW00011039;None;Marc;J;Martin;0;1948-12-17;M;None;M;marc3@adventure-works.com;30000;3;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Clerical;Administrativo;Employ‚;1;2;9353 Creekside Dr.;None;1 (11) 500 555-0183;8/10/05;5-10 Miles;Pacific;75;1
11040;642;AW00011040;None;Jesse;None;Murphy;0;1977-08-01;M;None;M;jesse15@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;3350 Kingswood Circle;None;961-555-0176;10/5/07;1-2 Miles;North America;47;1
11041;325;AW00011041;None;Amanda;M;Carter;0;1977-10-16;M;None;F;amanda53@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;5826 Escobar;None;295-555-0145;7/18/2007;1-2 Miles;North America;47;1
11042;338;AW00011042;None;Megan;J;Sanchez;0;1977-06-13;M;None;F;megan28@adventure-works.com;70000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;1397 Paraiso Ct.;None;404-555-0199;7/25/2007;0-1 Miles;North America;47;1
11043;325;AW00011043;None;Nathan;M;Simmons;0;1976-02-24;M;None;M;nathan11@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;1170 Shaw Rd;None;296-555-0181;11/9/07;5-10 Miles;North America;48;0
11044;25;AW00011044;None;Adam;L;Flores;0;1949-05-24;M;None;M;adam10@adventure-works.com;20000;2;1;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;1;2;6935 Candle Dr;None;1 (11) 500 555-0163;8/31/2005;1-2 Miles;Pacific;75;1
11046;6;AW00011046;None;Christine;None;Yuan;0;1950-03-22;M;None;F;christine4@adventure-works.com;30000;3;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2356 Orange St;None;1 (11) 500 555-0113;8/9/05;5-10 Miles;Pacific;74;1
11049;307;AW00011049;None;Carol;C;Rai;0;1980-07-18;S;None;F;carol8@adventure-works.com;40000;0;0;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Clerical;Administrativo;Employ‚;1;2;6064 Madrid;None;654-555-0180;9/10/07;5-10 Miles;North America;44;0
11050;31;AW00011050;None;Alan;None;Zheng;0;1951-09-07;M;None;M;alan23@adventure-works.com;30000;3;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2741 Gainborough Dr.;None;1 (11) 500 555-0135;8/23/2005;5-10 Miles;Pacific;73;1
11051;21;AW00011051;None;Daniel;None;Johnson;0;1951-08-04;S;None;M;daniel18@adventure-works.com;30000;3;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;8085 Sunnyvale Avenue;None;1 (11) 500 555-0155;7/1/08;1-2 Miles;Pacific;73;0
11052;8;AW00011052;None;Heidi;None;Lopez;0;1951-08-07;S;None;F;heidi19@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Clerical;Administrativo;Employ‚;0;2;2514 Via Cordona;None;1 (11) 500 555-0168;8/20/2005;5-10 Miles;Pacific;73;1
11053;359;AW00011053;None;Ana;E;Price;0;1980-08-20;M;None;F;ana0@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;0;2;1660 Stonyhill Circle;None;859-555-0113;7/21/2007;1-2 Miles;North America;44;1
11054;34;AW00011054;None;Deanna;None;Munoz;0;1952-03-10;M;None;F;deanna33@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;5825 B Way;None;1 (11) 500 555-0192;8/6/05;5-10 Miles;Pacific;72;1
11055;22;AW00011055;None;Gilbert;None;Raje;0;1952-03-05;M;None;M;gilbert35@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;8811 The Trees Dr.;None;1 (11) 500 555-0129;8/3/05;5-10 Miles;Pacific;72;1
11057;5;AW00011057;None;Carl;J;Andersen;0;1953-10-12;M;None;M;carl12@adventure-works.com;70000;2;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gesti¢n;Direction;1;2;6930 Lake Nadine Place;None;1 (11) 500 555-0181;8/25/2005;1-2 Miles;Pacific;71;1
11058;29;AW00011058;None;Marc;None;Diaz;0;1954-04-27;M;None;M;marc6@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;6645 Sinaloa;None;1 (11) 500 555-0149;9/9/05;1-2 Miles;Pacific;70;1
11059;27;AW00011059;None;Ashlee;J;Andersen;0;1954-04-01;S;None;F;ashlee19@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;8255 Highland Road;None;1 (11) 500 555-0112;8/22/2007;5-10 Miles;Pacific;70;0
11060;40;AW00011060;None;Jon;L;Zhou;0;1954-03-17;M;None;M;jon28@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;6574 Hemlock Ave.;None;1 (11) 500 555-0174;9/19/2005;5-10 Miles;Pacific;70;1
11061;23;AW00011061;None;Todd;M;Gao;0;1954-02-27;M;None;M;todd14@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;2;8808 Geneva Ave;None;1 (11) 500 555-0191;9/13/2005;5-10 Miles;Pacific;70;1
11062;547;AW00011062;None;Noah;D;Powell;0;1975-09-02;M;None;M;noah5@adventure-works.com;40000;0;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;9794 Marion Ct;None;767-555-0113;7/11/07;5-10 Miles;North America;49;1
11063;634;AW00011063;None;Angela;None;Murphy;0;1975-04-07;S;None;F;angela41@adventure-works.com;40000;0;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;4927 Virgil Street;# 21;451-555-0162;7/16/2007;5-10 Miles;North America;49;1
11064;315;AW00011064;None;Chase;None;Reed;0;1975-12-07;M;None;M;chase21@adventure-works.com;40000;0;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2721 Alexander Pl.;None;892-555-0184;7/29/2007;5-10 Miles;North America;48;1
11065;331;AW00011065;None;Jessica;None;Henderson;0;1973-10-09;M;None;F;jessica29@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;0;2;9343 Ironwood Way;None;278-555-0186;8/14/2007;1-2 Miles;North America;51;0
11066;543;AW00011066;None;Grace;T;Butler;0;1973-11-27;M;None;F;grace62@adventure-works.com;70000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Professional;Profesional;Cadre;1;2;4739 Garden Ave.;None;712-555-0141;12/2/07;5-10 Miles;North America;50;0
11067;632;AW00011067;None;Caleb;F;Carter;0;1976-09-25;S;None;M;caleb40@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Professional;Profesional;Cadre;1;2;9563 Pennsylvania Blvd.;None;944-555-0167;2/19/2008;5-10 Miles;North America;48;0
11069;23;AW00011069;None;Carolyn;None;Navarro;0;1955-09-21;S;None;F;carolyn30@adventure-works.com;80000;2;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;4606 Springwood Court;None;1 (11) 500 555-0145;10/18/2005;1-2 Miles;Pacific;69;1
11071;24;AW00011071;None;Linda;None;Serrano;0;1955-06-26;S;None;F;linda31@adventure-works.com;80000;2;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;9808 Shaw Rd.;None;1 (11) 500 555-0130;9/2/07;5-10 Miles;Pacific;69;0
11072;17;AW00011072;None;Casey;None;Luo;0;1955-02-06;S;None;F;casey6@adventure-works.com;80000;2;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;9513 Roslyn Drive;None;1 (11) 500 555-0125;10/1/05;1-2 Miles;Pacific;69;1
11073;16;AW00011073;None;Amy;None;Ye;0;1956-08-14;S;None;F;amy16@adventure-works.com;70000;2;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2262 Kirkwood Ct.;None;1 (11) 500 555-0185;9/24/2007;5-10 Miles;Pacific;68;0
11074;28;AW00011074;None;Levi;A;Arun;0;1956-08-28;S;None;M;levi6@adventure-works.com;70000;2;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;4661 Bluetail;None;1 (11) 500 555-0127;9/24/2007;5-10 Miles;Pacific;68;0
11075;32;AW00011075;None;Felicia;L;Jimenez;0;1957-11-16;S;None;F;felicia4@adventure-works.com;80000;2;0;High School;Educaci¢n secundaria;Bac + 2;Professional;Profesional;Cadre;1;2;786 Eastgate Ave;None;1 (11) 500 555-0165;10/29/2005;5-10 Miles;Pacific;67;1
11077;36;AW00011077;None;Leah;None;Ye;0;1957-09-19;S;None;F;leah7@adventure-works.com;80000;2;0;High School;Educaci¢n secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;1291 Arguello Blvd.;None;1 (11) 500 555-0154;10/16/2005;1-2 Miles;Pacific;67;1
11078;49;AW00011078;None;Gina;E;Martin;0;1974-01-10;S;None;F;gina1@adventure-works.com;40000;0;0;High School;Educaci¢n secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;1349 Sol St.;None;196-555-0114;8/19/2007;1-2 Miles;North America;50;0
11080;30;AW00011080;None;Damien;None;Chander;0;1959-07-17;M;None;M;damien32@adventure-works.com;170000;0;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gesti¢n;Direction;1;2;9941 Stonehedge Dr.;None;1 (11) 500 555-0111;10/11/05;0-1 Miles;Pacific;65;1
11081;311;AW00011081;None;Savannah;C;Baker;0;1966-07-24;M;None;F;savannah39@adventure-works.com;120000;2;2;Bachelors;Licenciatura;Bac + 4;Management;Gesti¢n;Direction;1;3;1210 Trafalgar Circle;None;478-555-0117;8/16/2007;2-5 Miles;North America;58;0
11082;322;AW00011082;None;Angela;L;Butler;0;1966-08-04;S;None;F;angela17@adventure-works.com;130000;0;1;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gesti¢n;Direction;0;3;6040 Listing Ct;None;579-555-0195;7/26/2007;1-2 Miles;North America;58;1
11083;336;AW00011083;None;Alyssa;F;Cox;0;1966-03-15;M;None;F;alyssa37@adventure-works.com;130000;0;1;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gesti¢n;Direction;1;3;867 La Orinda Place;None;561-555-0140;7/10/07;1-2 Miles;North America;58;1
11084;543;AW00011084;None;Lucas;None;Phillips;0;1957-09-12;S;None;M;lucas7@adventure-works.com;80000;2;0;Partial High School;Educaci¢n secundaria (en curso);Niveau bac;Skilled Manual;Obrero especializado;Technicien;0;2;8668 St. Celestine Court;None;863-555-0172;7/8/07;1-2 Miles;North America;67;1
11085;345;AW00011085;None;Emily;None;Johnson;0;1957-07-19;S;None;F;emily1@adventure-works.com;60000;2;0;High School;Educaci¢n secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;7926 Stephanie Way;None;850-555-0184;6/8/08;5-10 Miles;North America;67;0
11086;369;AW00011086;None;Ryan;None;Brown;0;1957-12-23;M;None;M;ryan43@adventure-works.com;70000;2;1;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Professional;Profesional;Cadre;1;0;2939 Wesley Ct.;None;539-555-0198;1/3/08;0-1 Miles;North America;66;0
11087;307;AW00011087;None;Tamara;L;Liang;0;1957-10-03;M;None;F;tamara6@adventure-works.com;70000;3;2;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Professional;Profesional;Cadre;0;0;3791 Rossmor Parkway;None;178-555-0152;8/29/2007;0-1 Miles;North America;67;0
11088;359;AW00011088;None;Hunter;None;Davis;0;1957-11-25;M;None;M;hunter64@adventure-works.com;80000;2;1;Bachelors;Licenciatura;Bac + 4;Management;Gesti¢n;Direction;1;0;4308 Sand Pointe Lane;None;612-555-0141;7/17/2007;2-5 Miles;North America;66;1
11089;337;AW00011089;None;Abigail;M;Price;0;1957-02-05;S;None;F;abigail25@adventure-works.com;80000;2;1;Bachelors;Licenciatura;Bac + 4;Management;Gesti¢n;Direction;1;1;2685 Blackburn Ct;None;532-555-0117;7/2/07;2-5 Miles;North America;67;1
11090;338;AW00011090;None;Trevor;None;Bryant;0;1957-12-17;S;None;M;trevor18@adventure-works.com;90000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Professional;Profesional;Cadre;1;1;5781 Sharon Dr.;None;853-555-0174;2/7/06;2-5 Miles;North America;66;1
11091;50;AW00011091;None;Dalton;None;Perez;0;1957-04-04;M;None;M;dalton37@adventure-works.com;90000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Professional;Profesional;Cadre;1;1;6083 San Jose;None;559-555-0115;8/2/07;5-10 Miles;North America;67;0
11093;19;AW00011093;None;Aimee;A;He;0;1967-09-10;M;None;F;aimee13@adventure-works.com;100000;0;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gesti¢n;Direction;1;0;1833 Olympic Drive;None;1 (11) 500 555-0161;10/8/05;0-1 Miles;Pacific;57;1
11094;33;AW00011094;None;Cedric;W;Ma;0;1962-04-01;S;None;M;cedric15@adventure-works.com;70000;1;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;0;1;3407 Oak Brook Place;None;1 (11) 500 555-0115;10/9/07;0-1 Miles;Pacific;62;0
11098;14;AW00011098;None;Mallory;S;Rubio;0;1961-05-01;S;None;F;mallory7@adventure-works.com;60000;1;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;0;1;6452 Harris Circle;None;1 (11) 500 555-0157;8/15/2007;0-1 Miles;Pacific;63;0
11099;13;AW00011099;None;Adam;None;Ross;0;1961-03-08;M;None;M;adam2@adventure-works.com;60000;1;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;4378 Westminster Place;None;1 (11) 500 555-0186;10/8/05;0-1 Miles;Pacific;63;1
11100;28;AW00011100;None;Latasha;L;Navarro;0;1960-09-15;S;None;F;latasha10@adventure-works.com;60000;1;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;1;6954 Ranch Road;None;1 (11) 500 555-0123;10/17/2005;5-10 Miles;Pacific;64;1
11102;18;AW00011102;None;Julia;L;Nelson;0;1965-04-21;S;None;F;julia7@adventure-works.com;80000;5;5;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;4;2196 Coat Ct.;None;1 (11) 500 555-0124;1/17/2008;1-2 Miles;Pacific;59;0
11103;3;AW00011103;None;Cassie;None;Chande;0;1964-10-17;S;None;F;cassie13@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;9448 San Marino Ct.;None;1 (11) 500 555-0166;10/16/2005;5-10 Miles;Pacific;60;1
11107;17;AW00011107;None;Bianca;None;Lin;0;1959-09-09;M;None;F;bianca7@adventure-works.com;90000;1;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;7530 Eola;None;1 (11) 500 555-0121;11/1/05;5-10 Miles;Pacific;65;1
11109;38;AW00011109;None;Ruben;D;Kapoor;0;1963-11-05;S;None;M;ruben1@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;2;1984 Glendale Circle;None;1 (11) 500 555-0132;11/10/05;0-1 Miles;Pacific;61;1
11111;34;AW00011111;None;Meredith;T;Gutierrez;0;1962-02-23;M;None;F;meredith34@adventure-works.com;60000;1;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;1;7610 Northridge Ct.;None;1 (11) 500 555-0179;11/20/2005;0-1 Miles;Pacific;62;1
11112;25;AW00011112;None;Crystal;C;Wang;0;1962-09-09;M;None;F;crystal3@adventure-works.com;60000;1;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;1;2773 Kirkwood Dr;None;1 (11) 500 555-0134;11/25/2005;0-1 Miles;Pacific;62;1
11119;13;AW00011119;None;Evan;V;James;0;1935-04-10;S;None;M;evan8@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Clerical;Administrativo;Employ‚;0;2;4157 Sierra Ridge;None;1 (11) 500 555-0187;8/7/07;0-1 Miles;Pacific;89;0
11121;10;AW00011121;None;Orlando;None;Suarez;0;1960-11-18;M;None;M;orlando19@adventure-works.com;70000;5;4;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;3;7743 Hames Dr;None;1 (11) 500 555-0198;12/26/2007;10+ Miles;Pacific;64;0
